ID;RoomID;Description
0;10;You locate the source of the sobbing. An enormous troll sits slumped in front of a door on the western wall, crying into his hands. He notices you but continues to weep, ignoring you. He clearly has bigger problems. The hallway continues north and south.
1;10;You leave the troll behind, his sobbing and weeping getting more silent as you progress. You can't help but wonder what was the deal with that
2;10;You draw your sword. The crying troll never sees it coming, and with one sturdy strike the troll goes limp. The body block's the door and due to the size of the creature, is now impossible to get to. You may proceed north or south.
0;12;You run into orc guards! And they aren't happy to see you!
1;12;You have survived. You may continue east or south.
0;13;You hear noises of a scuffle ahead. As your torch lights the way, you see a tumbling ball of two creatures roughly the same size fighting ferociously. You make out a big cave rat and a goblin. The gobling is clearly strugling to hold his own in the fight and it's only a matter of time before he wears down and faces defeat. Clearly if you dont intervene, the rat will be feasting on goblin tonight. Do you wish to intervene?
1;13;The room is empty.
0;15;You feel a breeze across your face. Something inside you tells you that this particular breeze is not of natural origin. You duck under the breeze and a giant blade comes out of seemingly nowhere and slices the air above your head. You take a moment to asses that you infact are in one piece and thank the deities for this rare sign of mercy. You may continue west or south.
1;15;You see the blade swiping out of the wall. This means the trap has allready been sprung, wich in turn means that you have little to no time to adjust to the circumstances. You do what you can but arehit by the blade viciously to the side as you try to leap out of its way. You take 8 HP of damage.
2;15;You never saw it coming. A trap you so unawarely sprung, the blade you didn't notice, the massive force that of sharp steel that hits your neck. You have become one of the many skeletons of adventurer's that populete dungeons and lairs through out the realms. One of those skeletons that you used to look down upon as lesser heroes, since you your self were alive. Now you know why the skull's allways looked like they were grinning, they knew the arrogance of the living with the great hind-sight that comes with leaving your mortal coil. You have died.
0;17; The hallway opens into a large hall. You see exit's both east and west. In the middle of the room you see two orc's draging a female towards the eastern hallway. You quickly deduce that it is in fact a prisoner, either a unlucky heroine or a poor soul Zhaltrauc's minions have captured outside, for whatever reasons. 
1;17; The prisoner approaches you, relief visible in her face. "I tought i'd never see another day , thank you stranger. Like you, i was on my way to destroy Zhaltrauc. I just couldn't stand watching the realm suffer as he started to grow in power. But apparently i was not as prepared as i tougth. I do, however, have a valuable piece of information. Zhaltrauc himself is an old evil spirit of aking thrown down from his throne by the people he reigned over. He assumed the form of a lich king and stole the sacred Light Stone from my father's, the king of my land, castle. It's what he uses to channel the evil powers and wouldn't have lasted this long without it. The stone is used for good but in the wrong hands... but i digress. Beware of the stone! He keeps it on his crown and will youse it against you! You will go blind and be unable to fight. You need to find a way to fight the blinding light that the magical gem emanates. I wish for you to exceed. Farewell!" The adventuring maiden gives you a health potion. She then takes a sword from the orc guards and makes her way back to the first level. You may continue east, west or south.
2;17; You hide behind a pillar and observe as the prisoner is dragged away. You can only guess what will come of her. You may continue east, west or south.
0;18; You enter what is clearly a dungeon. Cells line the eastern wall, occupied with creatures of all race's. They have'nt noticed you yet. You observe from the shadows that they are not well, prehaps years of imprisoment has driven then insane. The light from your torch has yet to reach them properly and the prisoners seem docile enough. The hallway continues south and exits west. 
1;18; The torche goes out and the only reaction you get is a slight murmur amongst the prisoners. Apparently it's something theyre used to. You may continue south or exit west.
2;18; 
As you attemp to continue down the hallway the light of your torch illuminates the faces of the prisoners. One prisoner, who appears to be a lizardman, spots you. The scaled humanoid lets out a scream that sends the deranged population of the dungeon into a frenzy. Howling and screaming, the noice is defening. Two orc guards rush to the scene before you get the chance to make a run for it. The notice what's out of place (you that is) and act accordingly.
3;18; You survived. The prisoners are afraid of you now and scurry to the cell's wall, hiding from you. Once again, the dungeon is silent. You may continue south or exit west.
0;20; The end of the hallway has a large stone mural on its wall. You recognize it as ancient dwarven glyphs and suddenly it hits you: the lair has been built on an old dwarven city. No wonder it seemed out of place. Zhaltrauc's scouts must have come across this some time in the past. It had propably been a mining colony at firs and the occupants had moved on to other sites as they had mined the rock of its wealth. A samll door lies at the foot of the wall. The doorway is to the south and the hallway leads north.
1;20; 
You try to fit in, gettin in on your hands and knees. But this is one situation your burly, strong body is of hinderence rather than help. You cant fit into that door even if you wished for it really, really hard.
0;21; 
You are just thin enough to squeeze yourself in to the next room. You dust your self off and take in your surroundings. this was clearly one of the living quarters of the dwarven city. It's littered with tiny houses and stairways, carved form the very stone the cave itself is made of. As you venture forward, you hear a hissing sound made by some creature youve happened to anger. As you quickly turn your torch towards the creature you see agiant spider. It squeals at the sight of your torches flame and flees into the darkness. Clutching your torch, you start seeing spider web everywhere. The web is more frequent as you move on, untill you come to a samll opening in the wall, surrounded thick with web. You peek inside and find a nest of giant spiders, squrrying about their web ridden lair. They notice you and you are suddenly the center of attention to hundreds of eyes. It's a standoff, both sides waiting to see what the otherone will do.
1;21; 
You go for the attack, and manage to hack your self a few spiders. Unfortunately, plenty more come swarming trough the nooks and crannies of the nest and you are quickly engulfed in what can only be described as a nightmare come to life, a hord of eight-legged fiend's swarming and trapping you. The sheer number of these creatures makes it impossible for you to move, let alone fight back. You are engulfed and helpless. The spiders devour you on the spot. You have died. 
2;21; 
You quickly strike your torche at the wall of the nest. the dry webbing set aflame with ease and spreads across the entire nest. The spiders quickly run towards the other end of the nest and you see them pouring into a hole in the wall. As you watch every single spider run for their life you put two and two to gether and realize there was way too many of them to fight. You hear distant yell's of terror and pain as apparently some other poor soul got into the way of the panicing spiders. As the last remains of the nest burn away you notice that the hole the spiders used to escape was infact another tiny doorway built by the dwarf's. You may now go east to the dwarf houses or west through the burnt up, new doorway.
0;22; You interrupt what seems to be a card game of sorts played by four orcs. They sit at a table in front of the doorway that connects to the next level of this lair. Apparently the game is not as interesting as your precense and the orc guards rush to fight you.
1;22; You have miraculously survived the orcen onslaught. Now it's time to reap the benefits. This game of cards was no mere joke but a high-stakes gamble for gold, as the pile of glittering yellowish coins on the table suggest. You may enter the next level through the entrance or go north.
2;22; You interrupt what seems to be a card game of sorts played by four orc guards. Even tough you are startled, the orcs don't seem to notice your crude disguise. They insist you join them in a game of cards. You sit down, playing along, because the chance of avoiding bloody combat with these orcs is too tempting to pass. You are delt a hand and the game commences.
3;22; You stone-like pokerface, cool nerves and calculating risk taking have proved you a mighty foe on the arena of cards and gambling. The orcs stare in disbelief as you stuff your pockets with gold, their self-esteem shattered. You are now free to go to the next level or move north.
4;22; Game after game, coin after coin, hand after hand. You loose. Desperation is your driving force as you make poor choices based on ill judgment and dont seem to be able to your oppenets at all. In a final daring (but futile) attempt of getting out of this hell of an gamble, you bet your clothes. Lo and behold, you are naked, and the orcs see who you really are. You have no choice but to fight for your life!
4;22; You have miraculously survived the orcen onslaught. Now it's time to reap the benefits.You gather the gold from you former co-gamblers and can't help but feel a little happy to have turned the table on the orcs. Litterally, since you flipped the table over as you started the fight. You are now able to continue to the next level or move north.
0;23; This part of the great halls has been transformed into a makeshift armory for the orcs. Apparrently the lair has not been visited by adventurers in a while as the armory is unmanned and in dissarray. You do make out a complete set of orc armour wich just might fool the thick orcs. The hallway continues south and north.
1;23; You equip the orcen armour. It's an rather loose fit, but you manage to adorne it anyway. It smells bad. The hallway continues saouth and north.
2;23; This part of the great halls has been transformed into a makeshift armory for the orcs. Apparrently the lair has not been visited by adventurers in a while as the armory is unmanned and in dissarray.  The hallway continues south and north.
0;24; You see the trap. Rather crude, only covered by some hay that allready seems out of place in these surroundings. There is more than enough room to avoid it. You can mosey on south or north.
1;24; Your perception works with a delay again, as you notice a trap AFTER you spring it. A large ball and chain drops from the ceiling and you just barely manage to dodge the full brunt of the impact. You fall down and possibli crack a rib, but should consider yourself lucky anyway. You gather your self and may continue south or north.
2;24; You might as well walk in this dungeon without the bloody torch since you dont seem to pay attention tu your surroundings at all. A giant ball and chain drops from the ceiling, bashing you square in the torso and flings your flailing ragdoll of a body into the wall. The pain is so bad you decide to take a few minutes for your self and just lie there on the cold floor, gathering your toughts. You are not sure what exactly is broken in your body but something certainly is. You loose 10 HP. After you recover that wich you can of your bruised being, you are once again ready to travel. The Hallway continues south and north.
0;25; You descend deeper into Zhaltrauc's lair (TM). The temperature of the air has risen subtantially and sweat begins to leak from your pores. Constant deafening sound of bubling liquids and open flames fill the air, with a slight hint of sulphur. The majestic hallways and sculptures of the level above you are nowhere to be seen and are replaced by molten rock frozen into organic shapes. Organic, yet devoid of life. Ahead you a red glow illuminates the cavern. You may proceed south or return to the upper level north.

